state,answer_set,facility_name,age,count,n_respondents,pct_of_respondents,question_ids,biden_presidency_opinion,climate_change_effects,education,eligible_to_vote,facility_type,following_trump_stormy_daniels_trial,gender,independent_preference_for_dem_rep,kamala_opinion,kamala_record_familiarity,kamala_record_on_crime,labor_unions_opinion,likely_to_vote_in_november_election,party,people_with_convictions_should_vote,race,sentence_length,sentence_so_far_served,skills_for_politics,thought_to_november_election,trump_dictator_first_day_opinion,trump_punishment,us_ready_elect_woman_president,vote_impact_government_level,who_vote_for,who_vote_for_supplement
0_ALL_STATES,all-surveys,"Accommack County Jail, VA",36 - 45,6,13,0.46153846153846156,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Adam County, PA - Adult Correctional Complex",26 - 35,6,15,0.4,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Aiken County, SC",36 - 45,7,19,0.3684210526315789,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Alameda County-Santa Rita, CA",18 - 25,6,41,0.14634146341463414,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Alameda County-Santa Rita, CA",26 - 35,14,41,0.34146341463414637,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Alameda County-Santa Rita, CA",36 - 45,10,41,0.24390243902439024,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Alameda County-Santa Rita, CA",46 - 55,8,41,0.1951219512195122,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Albany County Correctional Facility, NY",18 - 25,21,88,0.23863636363636365,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Albany County Correctional Facility, NY",26 - 35,27,88,0.3068181818181818,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Albany County Correctional Facility, NY",36 - 45,31,88,0.3522727272727273,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Allegheny County Jail, PA",18 - 25,8,53,0.1509433962264151,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Allegheny County Jail, PA",26 - 35,21,53,0.39622641509433965,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Allegheny County Jail, PA",36 - 45,12,53,0.22641509433962265,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Allegheny County Jail, PA",46 - 55,7,53,0.1320754716981132,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Anne Arundel County, MD",36 - 45,7,20,0.35,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Anne Arundel County, MD",46 - 55,7,20,0.35,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Apache County Jail, AZ",18 - 25,7,22,0.3181818181818182,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Apache County Jail, AZ",36 - 45,7,22,0.3181818181818182,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Arlington County Detention Center, VA",18 - 25,7,33,0.21212121212121213,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Arlington County Detention Center, VA",26 - 35,14,33,0.42424242424242425,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Arlington County Detention Center, VA",36 - 45,8,33,0.24242424242424243,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Ashland County, OH ",36 - 45,7,17,0.4117647058823529,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Athens Clarke County Jail, GA",18 - 25,6,67,0.08955223880597014,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Athens Clarke County Jail, GA",26 - 35,18,67,0.26865671641791045,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Athens Clarke County Jail, GA",36 - 45,28,67,0.417910447761194,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Athens Clarke County Jail, GA",46 - 55,8,67,0.11940298507462686,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Atlantic County Justice Facility, NJ",36 - 45,6,13,0.46153846153846156,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Barnstable County Correctional Facility, MA",26 - 35,8,29,0.27586206896551724,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Barnstable County Correctional Facility, MA",36 - 45,11,29,0.3793103448275862,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Bay County, FL",26 - 35,9,35,0.2571428571428571,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Bay County, FL",36 - 45,15,35,0.42857142857142855,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Bay County, FL",46 - 55,6,35,0.17142857142857143,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Beaver County, UT",18 - 25,7,39,0.1794871794871795,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Beaver County, UT",26 - 35,10,39,0.2564102564102564,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
0_ALL_STATES,all-surveys,"Beaver County, UT",36 - 45,12,39,0.3076923076923077,facility_name__age,,,,,,,,,,,,,,,,,,,,,,,,,,
